platform,video_id,url,title_caption,hashtags,views,likes,comments,channel_account,download_path,scraped_at
youtube,UCEp5gFO7uY,https://www.youtube.com/watch?v=UCEp5gFO7uY,LFERDA - DEJA VU (Official Audio),,58709,5344,575,LFERDA,,2026-07-27 12:01:21.936454+00:00
youtube,MOclJJ7IpSY,https://www.youtube.com/watch?v=MOclJJ7IpSY,EA SPORTS FC 27 | Official Reveal Trailer,"fifa, fifa pack opening, fifaeas, EA SPORTS FC, FC 27, EA FC, EA FC release date, FC 27 release date, FC 27 trailer, FC 27 reveal, FC 27 gameplay, football ultimate team, FC 27 ultimate team, FC 27 cover, FC 27 features, FC 27 ratings, FC 27 PS5, FC 27 Xbox, FC 27 PC, FC 27 Nintendo Switch, FC 27 news, FC 27 official, FC 27 PlayStyles, FC 27 pre-order, football game, new football game, EA SPORTS football, FUT, The Grounds, FC 27 The Grounds, FC 27 open world",4761928,174697,12906,EA SPORTS FC,,2026-07-27 12:01:21.936533+00:00
youtube,AgD4nEioqGY,https://www.youtube.com/watch?v=AgD4nEioqGY,meccha chameleon |😂😂 الشرفة لاعبين امجنن لعبة,"chediid, CHERFA, CHRFA, maroc gaming, ARK JaHaNaM, GTA 5, GTA RP, gta rp, gta 5 rp, gta 5, gta rp cherfa, GTA, rockstar, Gaming, Gaming maroc, ark, ark maroc, الحياة الواقعية, Christmas, davos, ark jahanam 2, JaHaNaM, davos gaming, davos cherfa, davos rp, setup maroc, rust maroc, davos gamer, cherfa games, davos ark, chedid, stranded deep, survive, elvasto, العاب سرفايفل, forza, meccha chameleon, meccha chameleon funny moments, meccha chameleon عرب, meccha chameleon maroc, gta vi",74273,6403,285,DAVOS,,2026-07-27 12:01:21.936547+00:00
youtube,Z_zeD8uuMw0,https://www.youtube.com/watch?v=Z_zeD8uuMw0,Douaa Lahyaoui - Cheraniya [Official Music Video] | (دعاء لحياوي - شرانية (فيديو كليب,"Badadi, Charaniya, Doua Lahyaoui Charaniya, Douaa Lahyaoui, Douaa Lahyaoui Charaniya, aghani, babadi, badadi, badadi lih, baddadi, bdadi, cherania, cheraniya, doua lahiaoui, doua lahyaoui cheraniya, douaa lahyaoui, douaa lahyaoui cherania, douaa yahiaoui, douaa yahyaoui, douae yahiaoui, douae yahyaoui, music, اغاني, اغاني مغربية, اغنية دعاء اليحياوي, بضاضي, دعاء الحياوي, دعاء اليحياوي, دعاء حياوي, دعاء لحياوي, دعاء لحياوي شرانية, دعاء يحيوي, شرانية",782399,19778,649,Douaa Lahyaoui ,,2026-07-27 12:01:21.936558+00:00
youtube,7UIBOsuUwc4,https://www.youtube.com/watch?v=7UIBOsuUwc4,Lanterns | Official Trailer | HBO Max,"hbo max, hbo, hbo originals, hbo original series, hbo trailer, new on hbo, hbo max originals, hbo max trailer, hbo max series, lanterns, lanterns show, lanterns tv, kyle chandler, aaron pierre, hal jordan, jon stewart, john stewart, lanterns hbo, lanterns hbo max, lanterns trailer, lanterns teaser, dc shows, dc comics shows, dc series, dc comics series, green lantern, green lantern show, kyle chandler lanterns, aaron pierre lanterns, kyle chandler green lantern",6048653,130793,8495,HBO Max,,2026-07-27 12:01:21.936568+00:00
youtube,j2bzP2wvDhA,https://www.youtube.com/watch?v=j2bzP2wvDhA,استعراض حساب قوي في فري فاير !!,"الصحراوي, صحراوي فري فاير, sa7rawi, فري فاير, صحراوي, فري فاير الجزائر, تهكير فري فاير, تحدي فري فاير, مقلب النوب, شحنتلهم, شحن فري فاير, ألف جوهرة, تخريب حساب, شحنت للمتابع, تحدي أفوز, FREE FIRE, NOOB PRANK, سكواد جزائري, خدعة اللغم, ساكورا, التحديث الجديد فري فاير, WHITE444, هيدشوت تلقائي, حسونة, دراغونوف, DBL N, الشخصية الجديدة, متجر التخفيضات, السكن, الشوتقن, فري فاير لايت, الكريمنال, الفاير باس الاول, المتابعين, اصعب تحدي, Ali Omar, M16, TRYHARD, DJEXO, قيم بلاي, سكواد بنات",226404,18345,1690,SA7RAWI Gaming,,2026-07-27 12:01:21.936579+00:00
youtube,jgPyqol4V64,https://www.youtube.com/watch?v=jgPyqol4V64,DOUZI  ft TYOUSSI - CHHAL GALOU  (Official Music Video),"لمعلم, music marocaine, معلم, اغاني جديده, aghani douzi, كليب, دوزي, Clip, مصر, Bestsongs, اغاني, POPSTAR, Arabic Song, music, chab douzi, اغاني دوزي, libanon, liban, Egypt, new music, رقص, Arabic Music, Douzi, musique, hits, cheb douzi, الدوزي, موسيقى مغربية, morocco, لبنان, dozi, dozy, rai, راي, officielle, officiel, official, 4K, nouveauté, nouveau, جديد, playlist, playlists, pop, romantic, romantique, relax, saad lamjarred, new, single, mena, afrique, maghreb, live, concert",146233,6699,579,Douzi دوزي,,2026-07-27 12:01:21.936592+00:00
youtube,3zaNMeTtiUY,https://www.youtube.com/watch?v=3zaNMeTtiUY,فعلتها كونامي هدايا اسطورية واضافات مثيرة 🔥🤯 شرح تفاصيل بث كونامي المباشر 😱|efootball 2026,"من بره التمنتاشر, efootball 2026, efootball, بيس موبايل, بيس 2026, هدايا كونامي, بيس 26, احداث يوم الخميس بيس, تحديث بيس موبايل, تحديث بيس 2026, efootball mobile, efootball 26, eFootball Updates, تحميل efootball, تحميل بيس, efootball pes, pes mobile, تحميل لعبة efootball, احداث يوم الخميس, بكج نجوم الاسبوع, اضافات يوم الخميس, بكجات يوم الخميس, احداث يوم الاثنين, efootball2026, كوينز بيس, مهمات بيس, طريقة استلام كوينز, شرح تحديث بيس",188459,18660,1847,من بره التمنتاشر,,2026-07-27 12:01:21.936612+00:00
youtube,YTJR4PAw3gQ,https://www.youtube.com/watch?v=YTJR4PAw3gQ,BENY JR - MALANDRIN [VIDEO OFICIAL],,129562,21015,1434,Beny Jr,,2026-07-27 12:01:21.936619+00:00
youtube,9kXZY6C27d8,https://www.youtube.com/watch?v=9kXZY6C27d8,جارينا عملت شيء غبي !!,"الصحراوي, صحراوي فري فاير, sa7rawi, فري فاير, صحراوي, فري فاير الجزائر, تهكير فري فاير, تحدي فري فاير, مقلب النوب, شحنتلهم, شحن فري فاير, ألف جوهرة, تخريب حساب, شحنت للمتابع, تحدي أفوز, FREE FIRE, NOOB PRANK, سكواد جزائري, خدعة اللغم, ساكورا, التحديث الجديد فري فاير, WHITE444, هيدشوت تلقائي, حسونة, دراغونوف, DBL N, الشخصية الجديدة, متجر التخفيضات, السكن, الشوتقن, فري فاير لايت, الكريمنال, الفاير باس الاول, المتابعين, اصعب تحدي, Ali Omar, M16, TRYHARD, DJEXO, قيم بلاي, سكواد بنات",199136,18171,1621,SA7RAWI,,2026-07-27 12:01:21.936630+00:00
youtube,0sbHnYkPMMc,https://www.youtube.com/watch?v=0sbHnYkPMMc,#TAMOUNT & WALiD iTRi  ~ Mi DADA ~ مي دادا,,28805,870,109,TAMOUNT,,2026-07-27 12:01:21.936637+00:00
